Tool/Modul;Speicherort;Datenart;Zweck;Loeschfrist;Rechtsgrundlage;Personenbezogen;Status
Benutzer-Login;Hetzner Server (Datenbank);Benutzername, Passwort (verschluesselt), Rolle, Name, Stundensatz;Authentifizierung und Zugriffskontrolle;Bei Kontoloeschung / nach Beendigung Arbeitsverhaeltnis;Berechtigtes Interesse (Art. 6 Abs. 1 lit. f DSGVO);Ja;Aktiv
Session-Verwaltung;Hetzner Server (Datenbank);Aktuelle Benutzer-ID, Login-Zeitpunkt, Session-Token;Aktive Sitzung verwalten;Bei Logout automatisch / nach 24h Inaktivitaet;Berechtigtes Interesse;Ja;Aktiv
Projekte;Hetzner Server (Datenbank);Projekt-ID, Name, Beschreibung, Zeitraum, Status, Budget;Projektverwaltung und Kostenplanung;Nach Projektabschluss archivieren, 10 Jahre aufbewahren;Vertragserfuellung (Art. 6 Abs. 1 lit. b DSGVO);Nein;Aktiv
Budgets;Hetzner Server (Datenbank);Budget-Positionen pro Projekt, Kategorien, Betraege;Budgetplanung und -ueberwachung;Mit Projektdaten verknuepft, 10 Jahre;Vertragserfuellung;Nein;Aktiv
Kosten (IST);Hetzner Server (Datenbank);Erfasste Kosten, Betraege, Datum, Kategorie;Kostenerfassung und Controlling;10 Jahre (Buchfuehrungspflicht);Vertragserfuellung;Nein;Aktiv
Geplante Kosten;Hetzner Server (Datenbank);Geplante Ausgaben, Kategorien;Kostenprognose;Mit Projektdaten verknuepft;Vertragserfuellung;Nein;Aktiv
DATEV-Buchungen;Hetzner Server (Dateisystem + Datenbank);Buchungsdaten aus manuellem DATEV-Export (Belegnummer, Betrag, Datum, Lieferant-ID);Import von Buchhaltungsdaten;10 Jahre (gesetzliche Aufbewahrungspflicht);Gesetzliche Verpflichtung (Art. 6 Abs. 1 lit. c DSGVO);Teilweise (Lieferantendaten);Aktiv - manueller Export
DATEV-Integration (automatisch);-;Automatischer Datenabruf aus DATEV;Automatisierter Datenimport;-;-;-;Geplant
Superbill-Integration;-;Rechnungsdaten aus Superbill;Automatisierter Rechnungsimport;-;-;-;Geplant
Rechnungen-Status;Hetzner Server (Datenbank);Rechnungsstatus (neu/kontrolliert/bezahlt);Workflow-Tracking fuer Rechnungsfreigabe;Mit DATEV-Buchungen verknuepft, 10 Jahre;Vertragserfuellung;Nein;Aktiv
Lieferanten-Namen;Hetzner Server (Datenbank);Partita IVA zu Firmenname Mapping;Lesbare Lieferantennamen anzeigen;Solange Geschaeftsbeziehung besteht + 3 Jahre;Berechtigtes Interesse;Ja (Firmendaten);Aktiv
Lieferanten-Stammdaten;Hetzner Server (Datenbank);Lieferanten-ID, Name, Kontaktdaten;Lieferantenverwaltung;Solange Geschaeftsbeziehung besteht + 3 Jahre;Berechtigtes Interesse;Ja (Firmendaten);Aktiv
Zeiterfassung;Hetzner Server (Datenbank);Arbeitszeiten, Mitarbeiter-ID, Projekt-ID, Datum, Stunden;Arbeitszeitdokumentation und Kostenberechnung;2 Jahre nach Projektabschluss;Vertragserfuellung;Ja;Aktiv
Sitzungen;Hetzner Server (Datenbank);Sitzungsprotokolle, Datum, Teilnehmer, Themen;Dokumentation von Besprechungen;3 Jahre nach Projektabschluss;Berechtigtes Interesse;Teilweise (Teilnehmernamen);Aktiv
Kuenstler;Hetzner Server (Datenbank);Kuenstlerdaten, Name, Kontakt, Projekte;Kuenstlerverwaltung;Solange Zusammenarbeit + 3 Jahre;Vertragserfuellung;Ja;Aktiv
Inventar;Hetzner Server (Datenbank);Inventarliste, Gegenstaende, Standort;Inventarverwaltung;Bei Aussortierung des Gegenstands;Vertragserfuellung;Nein;Aktiv
Adressen;Hetzner Server (Datenbank);Kontaktdaten, Adressen;Adressverwaltung;Solange Kontakt relevant + 3 Jahre;Berechtigtes Interesse;Ja;Aktiv
Aufgaben;Hetzner Server (Datenbank);Tasks aus Sitzungen, Verantwortliche, Faelligkeiten;Aufgabenverwaltung;Nach Erledigung archivieren, 1 Jahr;Berechtigtes Interesse;Teilweise;Aktiv
Einnahmen;Hetzner Server (Datenbank);Einnahmenplanung, Finanzierungsquellen, Betraege;Einnahmenprognose und Deckungsbeitragsrechnung;10 Jahre (Buchfuehrungspflicht);Vertragserfuellung;Nein;Aktiv
Einnahmen-Dokumente;Hetzner Server (Dateisystem);PDF-Dateien (Foerderzusagen, Bestaetigungen);Nachweis von Foerderzusagen;10 Jahre;Vertragserfuellung;Teilweise;Aktiv
EK-Rechnungen (Dateien);Hetzner Server (Dateisystem);PDF/Bild-Dateien der Eingangsrechnungen (manueller DATEV-Export);Rechnungsarchiv;10 Jahre (gesetzliche Aufbewahrungsfrist);Gesetzliche Verpflichtung;Teilweise (Lieferantendaten);Aktiv - manueller Export
Server-Logs;Hetzner Server (Logfiles);IP-Adressen, Zugriffszeiten, Aktionen;Sicherheit und Fehlerbehebung;30 Tage rollierend;Berechtigtes Interesse;Ja (IP-Adressen);Aktiv
Backups;Hetzner Server (Backup-Storage);Vollstaendige Datenbank- und Datei-Backups;Datensicherung und Wiederherstellung;Taeglich 7 Tage, woechentlich 4 Wochen, monatlich 12 Monate;Berechtigtes Interesse;Ja (alle Daten);Aktiv
