| id                                   | file_path                                                   | file_name                                          | file_size | partita_iva         | invoice_number | datev_buchung_id | status   | project_id | uploaded_by | uploaded_at                   | kontrolled_by | kontrolled_at | paid_by | paid_at | created_at                    | notes | kostentyp | funding_source_id | linked_datev_id | archived | archived_at | linked_booking_id | fornitore_name | workflow_status | created_by | updated_by | deleted_at | deleted_by | updated_at |
| ------------------------------------ | ----------------------------------------------------------- | -------------------------------------------------- | --------- | ------------------- | -------------- | ---------------- | -------- | ---------- | ----------- | ----------------------------- | ------------- | ------------- | ------- | ------- | ----------------------------- | ----- | --------- | ----------------- | --------------- | -------- | ----------- | ----------------- | -------------- | --------------- | ---------- | ---------- | ---------- | ---------- | ---------- |
| 04b2340e-a89d-4289-a8ef-84d951f91df9 | invoices/2026_NODOC_71500_1787120159568.pdf                 | 2026_NODOC_71500_1787120159568.pdf                 | null      | null                | 71500          | null             | uploaded | null       | null        | 2026-08-19 06:16:00.268157+00 | null          | null          | null    | null    | 2026-08-19 06:16:00.268157+00 | null  | null      | null              | null            | false    | null        | 206970            | null           | neu             | null       | null       | null       | null       | null       |
| 3ebf5054-1423-47f5-9f35-78821b8489e7 | invoices/2026_NODOC_id-206968_1787120179065.pdf             | 2026_NODOC_id-206968_1787120179065.pdf             | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:16:19.277425+00 | null          | null          | null    | null    | 2026-08-19 06:16:19.277425+00 | null  | null      | null              | null            | false    | null        | 206968            | null           | neu             | null       | null       | null       | null       | null       |
| dac26116-054f-4dbf-8a15-10a7c9e48fb9 | invoices/2026_NODOC_4201005588_1787120253640.pdf            | 2026_NODOC_4201005588_1787120253640.pdf            | null      | null                | 4201005588     | null             | uploaded | null       | null        | 2026-08-19 06:17:36.644019+00 | null          | null          | null    | null    | 2026-08-19 06:17:36.644019+00 | null  | null      | null              | null            | false    | null        | 207018            | null           | neu             | null       | null       | null       | null       | null       |
| 90854173-852a-4f39-a34b-14e529ef9a2f | invoices/2026_NODOC_RB6USYVC-0010_1787120276590.pdf         | 2026_NODOC_RB6USYVC-0010_1787120276590.pdf         | null      | null                | RB6USYVC-0010  | null             | uploaded | null       | null        | 2026-08-19 06:17:56.75557+00  | null          | null          | null    | null    | 2026-08-19 06:17:56.75557+00  | null  | null      | null              | null            | false    | null        | 207016            | null           | neu             | null       | null       | null       | null       | null       |
| 98916ef1-4a16-46f9-aa72-600a5e7ae140 | invoices/2026_IT01014660417_826564_1787120474472.pdf        | 2026_IT01014660417_826564_1787120474472.pdf        | null      | IT01014660417       | 826564         | null             | uploaded | null       | null        | 2026-08-19 06:21:14.6192+00   | null          | null          | null    | null    | 2026-08-19 06:21:14.6192+00   | null  | null      | null              | null            | false    | null        | 207014            | null           | neu             | null       | null       | null       | null       | null       |
| 67d2b888-7156-4404-a3ea-e59d2b0743fb | invoices/2026_IT02621100219_C-30395_1787120497786.pdf       | 2026_IT02621100219_C-30395_1787120497786.pdf       | null      | IT02621100219       | C-30395        | null             | uploaded | null       | null        | 2026-08-19 06:21:37.948019+00 | null          | null          | null    | null    | 2026-08-19 06:21:37.948019+00 | null  | null      | null              | null            | false    | null        | 207017            | null           | neu             | null       | null       | null       | null       | null       |
| 6aaca27d-701e-4ae5-b149-49b49f6bac4e | invoices/2026_NODOC_3/2026_1787120484978.pdf                | 2026_NODOC_3/2026_1787120484978.pdf                | null      | null                | 3/2026         | null             | uploaded | null       | null        | 2026-08-19 06:21:25.107346+00 | null          | null          | null    | null    | 2026-08-19 06:21:25.107346+00 | null  | null      | null              | null            | false    | null        | 207015            | null           | neu             | null       | null       | null       | null       | null       |
| 5a34d1e2-3cd1-4deb-94fa-f89d9502b253 | invoices/2026_NODOC_MC11930153_1787120509883.pdf            | 2026_NODOC_MC11930153_1787120509883.pdf            | null      | null                | MC11930153     | null             | uploaded | null       | null        | 2026-08-19 06:21:50.405516+00 | null          | null          | null    | null    | 2026-08-19 06:21:50.405516+00 | null  | null      | null              | null            | false    | null        | 207012            | null           | neu             | null       | null       | null       | null       | null       |
| 361773be-4950-4dab-b4cb-54503fcee18e | invoices/2026_ITIE6364992H_14896196_1787120562617.pdf       | 2026_ITIE6364992H_14896196_1787120562617.pdf       | null      | ITIE6364992H        | 14896196       | null             | uploaded | null       | null        | 2026-08-19 06:22:42.891345+00 | null          | null          | null    | null    | 2026-08-19 06:22:42.891345+00 | null  | null      | null              | null            | false    | null        | 207013            | null           | neu             | null       | null       | null       | null       | null       |
